# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	345520
#@/user_id	de2906ef-e74d-4ea7-bed0-6466917abe46
a 	啊	c=1163 d=4.67475 t=345520
an fen wan an 	氨酚烷氨	c=1 d=1 t=144635
an hui 	安徽	c=3 d=1 t=168901
an hui li gong 	安徽理工	c=1 d=1 t=115367
an hui liao li 	安徽料理	c=1 d=1 t=75951
an ji 	案几	c=1 d=1 t=153977
an ji 	氨基	c=0 d=0.1 t=281006
an jian 	案件	c=2 d=0.000678925 t=345520
an jie 	按揭	c=3 d=1 t=136748
an jing 	安静	c=3 d=1 t=343479
an li 	安利	c=1 d=1 t=191740
an li 	案例	c=3 d=1 t=265257
an liang 	按量	c=3 d=2.40377 t=176009
an mo 	按摩	c=4 d=1.89137 t=329896
an mo shi 	按摩师	c=1 d=1 t=145335
an na 	安娜	c=1 d=1 t=39713
an neng 	安能	c=1 d=1 t=77234
an nian 	按年	c=2 d=1 t=290547
an ning 	安宁	c=0 d=0.1 t=32050
an ning pai 	桉柠蒎	c=1 d=1 t=281724
an niu 	按钮	c=16 d=1.91393 t=268599
an pai 	安排	c=181 d=0.893358 t=345520
an piao 	按票	c=2 d=1.97045 t=328526
an quan 	安全	c=47 d=0.0217096 t=345520
an quan gan 	安全感	c=1 d=1 t=315172
an quan wang 	安全网	c=1 d=1 t=185100
an quan xing 	安全性	c=8 d=1 t=337936
an quan zu 	按全组	c=1 d=1 t=153633
an sheng 	安生	c=1 d=1 t=257899
an shi 	按时	c=3 d=1 t=240335
an shi 	暗示	c=3 d=1 t=264625
an shuo 	按说	c=28 d=1 t=329793
an tian 	按天	c=6 d=1 t=343628
an tu sheng 	安徒生	c=1 d=1 t=277054
an wei 	安慰	c=7 d=1 t=327976
an wen 	安稳	c=2 d=1.09512 t=254679
an wen jiao 	安稳觉	c=1 d=1 t=254670
an xi 	安息	c=1 d=1 t=41527
an xin 	安心	c=2 d=1 t=43637
an xiu suo 	氨溴索	c=4 d=1 t=339805
an xu 	按需	c=4 d=1 t=301214
an yi 	安逸	c=1 d=1 t=76155
an yong liang 	按用量	c=1 d=1 t=190054
an yuan 	按原	c=1 d=1 t=150125
an yue 	按月	c=3 d=1 t=296469
an zhao 	按照	c=70 d=1 t=328873
an zhe ge 	按这个	c=1 d=1 t=338187
an zhou 	按周	c=1 d=1 t=277371
an zhuang 	安装	c=59 d=0.000153011 t=345520
ang 	昂	c=2 d=0.157782 t=345520
ang gui 	昂贵	c=1 d=1 t=336245
ao 	熬	c=2 d=1 t=210113
ao bu 	熬不	c=1 d=1 t=326524
ao dao 	熬到	c=1 d=1 t=326519
ao li si ta 	奥利司他	c=1 d=1 t=339206
ao lun duo fu 	奥伦多夫	c=1 d=1 t=140034
ao men 	澳门	c=1 d=1 t=244989
ao si ta wei 	奥司他韦	c=1 d=1 t=327916
ao ye 	熬夜	c=1 d=1 t=283303
ba 	八	c=8 d=1 t=312816
ba 	吧	c=835 d=2.60081 t=345520
ba 	扒	c=2 d=1.00461 t=172290
ba 	把	c=882 d=0.158855 t=345520
ba 	拔	c=5 d=1 t=307023
ba 	爸	c=28 d=0.00123708 t=345520
ba 	粑	c=2 d=1 t=320865
ba ba 	巴巴	c=0 d=0.1 t=74803
ba ba 	爸爸	c=22 d=4.36218 t=326872
ba ba 	粑粑	c=1 d=1 t=52561
ba ba ma ma 	爸爸妈妈	c=3 d=1 t=285550
ba bai 	八百	c=1 d=0.1 t=173330
ba de 	巴德	c=1 d=1 t=187605
ba fa 	把发	c=1 d=1 t=168351
ba gao 	拔高	c=1 d=1 t=134657
ba jiu 	八九	c=1 d=1 t=144662
ba ke 	巴克	c=7 d=1 t=92416
ba kong 	把控	c=1 d=1 t=293503
ba la 	扒拉	c=1 d=1 t=13275
ba li dao 	巴厘岛	c=1 d=1 t=171273
ba ma 	爸妈	c=6 d=1 t=310526
ba nian 	八年	c=1 d=1 t=227375
ba qiang 	巴枪	c=1 d=1 t=193926
ba shi 	八十	c=1 d=0.0199405 t=345520
ba tian 	八天	c=1 d=1 t=258200
ba tong bu 	把同步	c=1 d=1 t=210177
ba wo 	把握	c=3 d=1 t=240883
ba yuan di 	八源地	c=1 d=1 t=332360
ba yue 	八月	c=1 d=1 t=255347
bai 	拜	c=8 d=1.00132 t=328098
bai 	摆	c=3 d=1 t=323041
bai 	柏	c=1 d=1 t=329228
bai 	白	c=9 d=1 t=329174
bai 	百	c=12 d=1 t=243787
bai 	败	c=1 d=1 t=219624
bai ban 	白板	c=1 d=1 t=235436
bai ban bao 	白板报	c=1 d=1 t=14645
bai bi 	摆臂	c=1 d=1 t=71612
bai cai 	白菜	c=1 d=1 t=67424
bai che 	掰扯	c=1 d=1 t=297784
bai chi 	白痴	c=0 d=0.1 t=193702
bai chu 	百出	c=1 d=1 t=47746
bai du 	百度	c=5 d=1 t=94675
bai fang 	拜访	c=3 d=1 t=311071
bai fen 	百分	c=3 d=1 t=315032
bai fen bai 	百分百	c=17 d=1.956 t=333128
bai fen bi 	百分比	c=7 d=1 t=339709
bai fen shu 	百分数	c=1 d=1 t=310957
bai fen zhi 	百分之	c=1 d=1 t=237726
bai gong 	白宫	c=1 d=1 t=88567
bai guo 	百果	c=1 d=1 t=92220
bai kai shui 	白开水	c=1 d=1 t=259843
bai ke 	百科	c=1 d=1 t=226807
bai lan 	摆烂	c=1 d=1 t=51526
bai mi yi shu 	百密一疏	c=1 d=1 t=267652
bai ming dan 	白名单	c=3 d=2.27263 t=106945
bai nian 	拜年	c=9 d=2.72625 t=326782
bai nian 	百年	c=1 d=1 t=99119
bai piao 	白嫖	c=1 d=1 t=188290
bai qiang 	百强	c=0 d=0.1 t=318254
bai qiang sai 	百强赛	c=1 d=1 t=318255
bai ri 	白日	c=1 d=1.056 t=37265
bai ri fang ge xu zong jiu 	白日放歌需纵酒	c=1 d=1 t=37266
bai se 	白色	c=2 d=1 t=100769
bai sha 	白沙	c=0 d=0.199501 t=92208
bai sha tang 	白沙汤	c=1 d=1 t=92208
bai sha tang 	白沙糖	c=1 d=1 t=92209
bai she 	摆设	c=1 d=1 t=313436
bai shi 	百世	c=446 d=1 t=345301
bai shi guo ji 	百世国际	c=1 d=1 t=91470
bai shi huan ya 	百世寰亚	c=1 d=1 t=173621
bai shi ji shu 	百世技术	c=1 d=1 t=30378
bai shi jiu nian 	百世九年	c=1 d=1 t=10659
bai shi tong 	百世瞳	c=1 d=1 t=7761
bai shi yi jia 	百世一家	c=5 d=1.45975 t=301992
bai shi yun 	百世云	c=2 d=1 t=52584
bai shu biao 	百数表	c=1 d=1 t=44557
bai shui 	白水	c=1 d=1 t=259613
bai tai 	百态	c=0 d=0.1 t=175752
bai tang 	白糖	c=0 d=0.1 t=92222
bai tian 	白天	c=16 d=1 t=257842
bai tuo 	摆脱	c=1 d=1 t=322192
bai wan 	百万	c=4 d=1 t=323906
bai wu 	白雾	c=1 d=1 t=329548
bai yun 	白云	c=2 d=1.92312 t=205579
bai yun dou 	白云豆	c=1 d=1 t=92198
bai zhou 	白粥	c=1 d=1 t=124488
ban 	伴	c=2 d=1.99005 t=271830
ban 	办	c=26 d=1 t=251351
ban 	半	c=128 d=0.204486 t=345520
ban 	拌	c=2 d=1 t=268159
ban 	搬	c=14 d=1 t=329204
ban 	板	c=2 d=1 t=301230
ban 	版	c=56 d=1 t=345184
ban 	班	c=29 d=1.01024 t=327953
ban 	般	c=3 d=1 t=255236
ban 	颁	c=1 d=1 t=260938
ban ban 	斑斑	c=1 d=1 t=310441
ban bei 	半杯	c=1 d=1 t=176050
ban ben 	版本	c=120 d=0.0031042 t=345520
ban ben hao 	版本号	c=1 d=1 t=23557
ban ben piao 	版本票	c=1 d=1 t=310004
ban che 	班车	c=8 d=1 t=259960
ban chu 	搬出	c=1 d=1 t=273975
ban dao 	搬到	c=1 d=1 t=289348
ban ding 	半定	c=1 d=1 t=172068
ban fa 	办法	c=102 d=1.65377 t=340765
ban fan 	拌饭	c=1 d=1 t=48785
ban fen 	拌粉	c=2 d=1.64983 t=345520
ban ge 	半个	c=4 d=1.00002 t=180908
ban ge yue 	半个月	c=4 d=1.00487 t=127759
ban gong 	办公	c=6 d=1 t=247853
ban gong shi 	办公室	c=15 d=0.000459671 t=345520
ban gong wang 	办公网	c=5 d=1.01795 t=170773
ban hao 	办好	c=2 d=1 t=89419
ban ji 	班级	c=11 d=1 t=343201
ban jia 	搬家	c=2 d=1 t=196572
ban jiao shi 	绊脚石	c=1 d=1 t=178429
ban jin 	搬进	c=1 d=1 t=152557
ban jue sai 	半决赛	c=1 d=1 t=277107
ban kuai 	板块	c=3 d=1 t=319831
ban li 	办理	c=5 d=2.14837 t=247664
ban li 	班里	c=1 d=1 t=170861
ban lu 	半路	c=1 d=1 t=233281
ban lu chu jia 	半路出家	c=1 d=1 t=27419
ban mian 	拌面	c=1 d=1 t=216985
ban mian 	版面	c=2 d=1 t=240686
ban nian 	半年	c=19 d=1 t=343492
ban nian du 	半年度	c=1 d=1 t=211222
ban nian duo 	半年多	c=1 d=1 t=231789
ban nian qian 	半年前	c=1 d=1 t=215258
ban qian 	搬迁	c=1 d=1 t=44797
ban qun 	半群	c=1 d=1 t=304070
ban shang 	班上	c=1 d=1 t=167303
ban shi 	办事	c=6 d=1.99005 t=197538
ban shi 	版式	c=2 d=1 t=333927
ban shu 	半数	c=4 d=1.00019 t=283624
ban shu 	半熟	c=1 d=1 t=42866
ban si 	半死	c=0 d=0.1 t=270809
ban si bu huo 	半死不活	c=1 d=1 t=270810
ban sui 	伴随	c=1 d=1 t=31774
ban tian 	半天	c=8 d=1 t=329297
ban tu er fei 	半途而废	c=1 d=1 t=284689
ban xiao shi 	半小时	c=4 d=1 t=344946
ban ye 	半夜	c=11 d=1 t=326520
ban yue 	半月	c=1 d=1 t=177709
ban zhuan 	搬砖	c=2 d=1 t=68038
ban zi 	板子	c=3 d=2.26055 t=271110
bang 	帮	c=119 d=0.249075 t=345520
bang 	棒	c=2 d=1 t=164235
bang 	绑	c=3 d=1 t=318567
bang 	邦	c=1 d=1 t=320492
bang bang 	帮帮	c=1 d=1 t=33564
bang bang 	棒棒	c=2 d=1 t=202652
bang bang shen 	傍傍身	c=1 d=1 t=324944
bang ding 	绑定	c=26 d=1.95123 t=344091
bang ma 	帮吗	c=2 d=1 t=343605
bang mang 	帮忙	c=146 d=1.93302 t=344022
bang mian 	帮面	c=1 d=1 t=18730
bang ni 	帮你	c=2 d=1 t=311000
bang shang 	帮上	c=1 d=1 t=305987
bang ta 	帮她	c=1 d=1 t=283558
bang wan 	傍晚	c=21 d=1 t=329417
bang wo 	帮我	c=9 d=1 t=221225
bang xiao mang 	帮小忙	c=3 d=2.00045 t=182901
bang yang 	榜样	c=1 d=1 t=304520
bang zhe 	绑着	c=1 d=1 t=131351
bang zhu 	帮助	c=44 d=1.00003 t=344933
bao 	保	c=3 d=1 t=304084
bao 	包	c=156 d=0.631284 t=345520
bao 	宝	c=22 d=1 t=305570
bao 	报	c=59 d=2.93124 t=342858
bao 	抱	c=1 d=1 t=26137
bao 	暴	c=4 d=1 t=259917
bao 	爆	c=2 d=1 t=285923
bao 	薄	c=2 d=1 t=322637
bao an 	保安	c=2 d=1 t=302541
bao bao 	宝宝	c=75 d=2.77184 t=303196
bao ben 	保本	c=2 d=1.90484 t=272615
bao biao 	报表	c=924 d=3.45752 t=345235
bao biao ming cheng 	报表名称	c=1 d=1 t=137799
bao biao nei 	报表内	c=1 d=1 t=307132
bao biao shi 	报表时	c=1 d=1 t=284931
bao bing 	抱病	c=1 d=1 t=323731
bao cai 	包菜	c=1 d=1 t=230448
bao cang 	包仓	c=1 d=1 t=152162
bao cang 	爆仓	c=4 d=1.79057 t=322455
bao cheng 	包成	c=3 d=1 t=143678
bao chi 	保持	c=76 d=1.01191 t=340422
bao chu 	爆出	c=1 d=1 t=2360
bao cun 	保存	c=89 d=2.92644 t=345407
bao cuo 	报错	c=4 d=1 t=177160
bao dao 	报到	c=4 d=1 t=326925
bao dao bu lao 	宝刀不老	c=1 d=1 t=196022
bao di 	保底	c=4 d=1.02357 t=316084
bao di zhi 	保底值	c=1 d=1 t=315796
bao diao 	包掉	c=1 d=1 t=74070
bao er 	鲍尔	c=1 d=1 t=132529
bao fa 	爆发	c=3 d=1 t=129301
bao fei 	报废	c=1 d=1 t=29769
bao gao 	报告	c=76 d=1 t=331551
bao gao hui 	报告会	c=1 d=1 t=138552
bao gao xing 	报告性	c=2 d=1.6157 t=154183
bao guang 	曝光	c=1 d=1 t=301592
bao gui 	宝贵	c=0 d=0.1 t=343065
bao gui de 	宝贵的	c=1 d=1 t=343066
bao guo 	包裹	c=45 d=1 t=329260
bao han 	包含	c=150 d=1 t=342902
bao hao 	包号	c=5 d=1 t=147474
bao hao 	包好	c=1 d=1 t=261391
bao hu 	保护	c=13 d=1.16122 t=186881
bao jia 	保价	c=20 d=1.10807 t=325571
bao jia 	报价	c=5 d=2.41726 t=187881
bao jia fei 	保价费	c=1 d=1 t=120139
bao jia jian 	保价件	c=1 d=1 t=212627
bao jia shou xu fei 	保价手续费	c=1 d=1 t=318337
bao jia yu fu 	宝嘉誉府	c=1 d=1 t=205079
bao jian 	保健	c=0 d=0.1 t=86510
bao jian 	包间	c=1 d=1 t=204070
bao jing 	报警	c=6 d=1 t=220653
bao kai 	爆开	c=1 d=1 t=173958
bao kuo 	包括	c=31 d=0.414783 t=345520
bao lei 	堡垒	c=1 d=0.1 t=313589
bao lei ji 	堡垒机	c=1 d=1 t=313590
bao lei ji 	报累计	c=1 d=1 t=206322
bao li 	包里	c=3 d=1 t=173243
bao liu 	保留	c=76 d=1.00548 t=338062
bao lu 	暴露	c=16 d=1 t=322292
bao ma 	宝马	c=1 d=1 t=65703
bao mi 	保密	c=2 d=1 t=164459
bao ming 	报名	c=1 d=1 t=54610
bao nei 	包内	c=3 d=1 t=119253
bao nian 	包年	c=6 d=2.92645 t=301217
bao nin 	包您	c=1 d=1 t=334316
bao pai 	包牌	c=1 d=1 t=61355
bao pai hao 	包牌号	c=1 d=1 t=48524
bao qian 	抱歉	c=4 d=1 t=300683
bao shou 	保守	c=1 d=1 t=219531
bao shu 	报数	c=1 d=1 t=9676
bao shui 	报税	c=1 d=1 t=185609
bao song 	报送	c=3 d=1 t=108818
bao tuan 	抱团	c=1 d=1 t=29254
bao wei 	包围	c=1 d=1 t=112090
bao wen 	保温	c=2 d=1 t=271431
bao xian 	保险	c=14 d=1 t=256244
bao xian gong si 	保险公司	c=1 d=1 t=185712
bao xiao 	报销	c=2 d=1 t=337745
bao yang 	保养	c=3 d=1 t=152897
bao you 	保有	c=1 d=1 t=117604
bao you 	包邮	c=1 d=1 t=292092
bao yu 	暴雨	c=2 d=0.1 t=341550
bao yuan 	抱怨	c=2 d=1 t=121856
bao yue 	包月	c=3 d=1.44486 t=298888
bao zang 	宝藏	c=1 d=1 t=176117
bao zang duo 	宝藏多	c=1 d=1 t=38498
bao zao 	暴躁	c=2 d=1 t=39201
bao zha 	爆炸	c=2 d=1 t=343978
bao zha sheng 	爆炸声	c=1 d=1 t=155536
bao zhang 	保障	c=2 d=1 t=257304
bao zheng 	保证	c=73 d=1 t=344169
bao zheng jin 	保证金	c=5 d=1 t=324009
bao zheng shu 	保证书	c=1 d=1 t=174031
bao zhi 	报纸	c=1 d=1 t=8986
bao zhi bai bing 	包治百病	c=1 d=1 t=188429
bao zhi qi 	保质期	c=1 d=1 t=121657
bao zhong 	保重	c=3 d=1 t=331309
bao zhong shen ti 	保重身体	c=1 d=1 t=146039
bao zhu 	保住	c=1 d=1 t=68039
bao zhu 	爆竹	c=4 d=1.84789 t=329510
bao zhuang 	包装	c=7 d=1 t=297957
bao zi 	包子	c=3 d=1 t=240591
bei 	倍	c=18 d=1.00694 t=311252
bei 	北	c=2 d=0.1 t=318554
bei 	呗	c=35 d=1 t=344556
bei 	备	c=12 d=1 t=264876
bei 	杯	c=7 d=1.99005 t=322436
bei 	背	c=5 d=1 t=321620
bei 	被	c=239 d=0.00543443 t=345520
bei 	贝	c=1 d=0.1 t=180221
bei bu 	北部	c=1 d=1 t=134843
bei cha 	备查	c=1 d=1 t=282743
bei dong 	被动	c=2 d=1.97531 t=301665
bei fen 	备份	c=50 d=1 t=345188
bei fu 	背负	c=2 d=1 t=249908
bei gao 	备稿	c=1 d=0.000409735 t=345520
bei gao feng 	北高峰	c=1 d=1 t=318555
bei guai 	被拐	c=1 d=0.000626727 t=345520
bei hou 	背后	c=5 d=1 t=301688
bei ji 	北极	c=1 d=1 t=302633
bei jing 	北京	c=8 d=1 t=345489
bei jing 	背景	c=70 d=1.98511 t=344058
bei jing lu 	北京路	c=1 d=1 t=187410
bei jing shi jian 	北京时间	c=6 d=1.00315 t=340521
bei kao 	背靠	c=1 d=1 t=308500
bei ku 	备库	c=19 d=1.57984 t=341253
bei lu 	北路	c=0 d=0.1 t=223904
bei ning 	北宁	c=3 d=1 t=263377
bei ou 	北欧	c=1 d=1 t=143234
bei po 	被迫	c=2 d=1 t=271639
bei ren 	被人	c=2 d=1.96079 t=240877
bei shu 	倍数	c=2 d=1 t=279691
bei shu 	背书	c=1 d=1 t=125314
bei tong ji 	被统计	c=1 d=1 t=291316
bei wang 	备忘	c=2 d=1 t=83209
bei wang lu 	备忘录	c=1 d=1 t=317692
bei wei 	卑微	c=1 d=1 t=152228
bei wo 	被窝	c=1 d=1 t=326536
bei xin 	背心	c=1 d=1 t=273045
bei xuan 	备选	c=1 d=1 t=293419
bei ye si 	贝叶斯	c=3 d=1.00003 t=140042
bei yong 	备用	c=3 d=1 t=287855
bei zhe 	背着	c=1 d=1 t=29246
bei zhu 	备注	c=12 d=1 t=317639
bei zhu zhong 	备注中	c=1 d=1 t=309844
bei zi 	杯子	c=1 d=1 t=329539
bei zi 	被子	c=3 d=1 t=129589
ben 	奔	c=2 d=1 t=38171
ben 	本	c=98 d=0.103312 t=345520
ben bo 	奔波	c=2 d=1 t=232597
ben cao 	本草	c=1 d=1 t=44384
ben chu 	本出	c=1 d=1 t=229682
ben ci 	本次	c=44 d=1.15335 t=340404
ben di 	本地	c=114 d=1.97531 t=345409
ben fang 	奔放	c=1 d=1 t=297059
ben fen bo 	本分拨	c=2 d=1.50158 t=60121
ben fu de 	本福德	c=2 d=1.9802 t=180333
ben hang 	本行	c=0 d=0.1 t=27426
ben ji 	本机	c=3 d=1 t=223374
ben ji du 	本季度	c=1 d=1 t=161486
ben jie 	本节	c=2 d=1.16447 t=61633
ben jin 	本金	c=3 d=1 t=324979
ben kai 	本开	c=2 d=1.00012 t=80887
ben ke 	本科	c=4 d=1 t=332992
ben lai 	本来	c=44 d=1 t=343445
ben lun 	本轮	c=1 d=1 t=267644
ben neng 	本能	c=1 d=1 t=35091
ben nian du 	本年度	c=2 d=1 t=298704
ben pao 	奔跑	c=1 d=1 t=302473
ben qi 	本期	c=11 d=1 t=311149
ben ren 	本人	c=9 d=1 t=345383
ben shen 	本身	c=87 d=1 t=342287
ben sheng 	本省	c=1 d=1 t=308510
ben shu 	本书	c=0 d=0.1 t=31016
ben teng 	奔腾	c=0 d=0.1 t=24219
ben tiao 	本条	c=1 d=1 t=102219
ben wen 	本文	c=5 d=1 t=337519
ben xi 	本息	c=2 d=1 t=315252
ben xiang 	本想	c=1 d=1 t=331616
ben yi 	本意	c=1 d=1 t=269299
ben yue 	本月	c=7 d=1.9802 t=296662
ben zhan dian 	本站点	c=2 d=1.00249 t=59937
ben zhe 	本着	c=1 d=1 t=270317
ben zhen 	本真	c=1 d=1 t=136113
ben zhi 	本职	c=1 d=1 t=288344
ben zhi 	本质	c=10 d=1 t=150203
ben zhi shang 	本质上	c=5 d=1.88692 t=158702
ben zhi shi 	本质是	c=1 d=1 t=113865
ben zhou 	本周	c=124 d=1 t=339287
ben zhou san 	本周三	c=1 d=1 t=131765
ben zhou si 	本周四	c=2 d=1 t=89302
ben zi 	本子	c=1 d=1 t=84991
beng 	崩	c=1 d=1 t=272626
beng 	绷	c=1 d=1 t=312094
beng beng tiao tiao 	蹦蹦跳跳	c=1 d=1 t=326850
beng da 	蹦达	c=1 d=1 t=328044
beng kui 	崩溃	c=7 d=1 t=287794
bi 	币	c=3 d=1 t=310660
bi 	必	c=11 d=1 t=339138
bi 	比	c=116 d=0.878095 t=345520
bi 	毕	c=2 d=1 t=307167
bi 	笔	c=5 d=1 t=298272
bi 	逼	c=4 d=1 t=310367
bi bao 	闭包	c=1 d=1 t=304059
bi bei 	必备	c=0 d=0.1 t=2779
bi bei de 	必备的	c=1 d=1 t=2780
bi chi jiao 	比赤脚	c=1 d=1 t=213857
bi ding 	必定	c=2 d=1 t=116674
bi dou 	鼻窦	c=1 d=1 t=281716
bi du 	必读	c=1 d=1 t=317633
bi dui 	比对	c=5 d=1.92312 t=344562
bi fa 	笔法	c=1 d=0.00511796 t=345520
bi huan 	闭环	c=23 d=1 t=331016
bi hui 	笔灰	c=1 d=0.00343067 t=345520
bi ji 	笔记	c=87 d=0.1 t=344370
bi ji ben 	笔记本	c=4 d=1 t=119505
bi ji fa 	笔记法	c=4 d=1 t=19041
bi ji zhong 	笔记中	c=1 d=1 t=344371
bi jiao 	比较	c=350 d=0.00113831 t=345520
bi jiao da 	比较大	c=5 d=1 t=340096
bi jiao di 	比较低	c=1 d=1 t=214221
bi jiao duo 	比较多	c=5 d=1 t=306851
bi jiao hao 	比较好	c=7 d=1 t=299280
bi jiao kuai 	比较快	c=2 d=1 t=188064
bi jiao mang 	比较忙	c=3 d=1 t=111784
bi jiao nan 	比较难	c=2 d=1 t=321203
bi jiao qiang 	比较强	c=1 d=1 t=190783
bi jiao shao 	比较少	c=1 d=1 t=6771
bi jiao wan 	比较晚	c=2 d=1 t=138459
bi jiao xu 	比较虚	c=1 d=1 t=253114
bi jin 	逼近	c=1 d=1 t=21387
bi jing 	必经	c=1 d=1 t=288786
bi jing 	毕竟	c=6 d=1 t=333875
bi kai 	避开	c=1 d=1 t=254545
bi kong 	鼻孔	c=1 d=1 t=131300
bi li 	比例	c=30 d=1.91393 t=338424
bi lv 	比率	c=1 d=1 t=199982
bi mai 	必买	c=1 d=1 t=317635
bi mian 	避免	c=66 d=1 t=341157
bi ni 	比你	c=2 d=1 t=196960
bi ran 	必然	c=5 d=1 t=325110
bi ru 	比如	c=142 d=1.44452 t=341201
bi sai 	比赛	c=11 d=2.87577 t=340406
bi sai 	鼻塞	c=3 d=1 t=281887
bi shi 	毕氏	c=1 d=1 t=307170
bi ti 	鼻涕	c=6 d=1 t=258274
bi tian 	必填	c=2 d=1 t=315515
bi wo 	比我	c=6 d=1 t=268758
bi wo men 	比我们	c=1 d=1 t=97459
bi xu 	必须	c=88 d=1 t=340308
bi xu pin 	必需品	c=2 d=1 t=110119
bi xu you 	必须有	c=1 d=1 t=181318
bi xuan 	比选	c=3 d=1 t=280365
bi xuan 	毕选	c=1 d=1 t=97068
bi yao 	必要	c=40 d=1.00001 t=338759
bi yao xing 	必要性	c=1 d=1 t=239285
bi ye 	毕业	c=9 d=0.298197 t=345520
bi ye zheng 	毕业证	c=1 d=1 t=82079
bi you 	必有	c=3 d=2.95556 t=172180
bi yu 	比喻	c=1 d=1 t=291732
bi zhi 	比值	c=2 d=1 t=264413
bi zhi 	笔直	c=2 d=0.000889368 t=345520
bi zhong jiu qing 	避重就轻	c=1 d=1 t=293164
bi zi 	鼻子	c=4 d=1 t=326756
bi zi li 	鼻子里	c=1 d=1 t=23277
bi zui 	闭嘴	c=1 d=1 t=45970
bi zuo 	必做	c=1 d=1 t=234086
bi zuo 	比作	c=3 d=1 t=297637
bian 	便	c=2 d=1 t=337529
bian 	变	c=50 d=1.00001 t=336868
bian 	编	c=1 d=1 t=221787
bian 	边	c=30 d=1.98511 t=321730
bian 	遍	c=4 d=1 t=38018
bian bian 	便便	c=1 d=1 t=27788
bian bian 	边边	c=0 d=0.1 t=27788
bian bian jiao jiao 	边边角角	c=1 d=1 t=27789
bian cheng 	变成	c=11 d=1 t=329306
bian cheng 	编程	c=31 d=1 t=313350
bian cheng ti 	编程题	c=1 d=1 t=46958
bian dang 	便当	c=1 d=1 t=102205
bian de 	变得	c=3 d=1 t=279654
bian di 	遍地	c=1 d=1 t=30502
bian dong 	变动	c=21 d=1.00006 t=342259
bian gan 	变干	c=1 d=1 t=122560
bian gao 	变高	c=1 d=1 t=182059
bian geng 	变更	c=112 d=1.00168 t=342284
bian geng ri 	变更日	c=1 d=1 t=335814
bian gong 	变共	c=3 d=1.44709 t=334699
bian hao 	编号	c=21 d=3.88767 t=292074
bian hu 	辩护	c=1 d=1 t=41480
bian hua 	变化	c=122 d=1.99023 t=342124
bian hua liang 	变化量	c=1 d=1 t=160950
bian huan 	变换	c=1 d=1 t=185869
bian ji 	编辑	c=31 d=1 t=344343
bian ji 	边际	c=1 d=1 t=192673
bian ji qi 	编辑器	c=3 d=1 t=178690
bian jie 	便捷	c=1 d=0.1 t=299210
bian jie 	边界	c=37 d=0.363206 t=345520
bian jie nei 	边界内	c=1 d=1 t=35452
bian jie xing 	便捷性	c=1 d=1 t=299211
bian kuang 	边框	c=8 d=1 t=67902
bian li 	便利	c=8 d=0.1 t=291564
bian li 	遍历	c=44 d=1 t=292351
bian li xing 	便利性	c=2 d=1.00001 t=293993
bian liang 	变量	c=25 d=1.97045 t=343555
